host,time,method,url,response,bytes,datetime
***.novo.dk,805465029,GET,/ksc.html,200,7067,1995-07-11 06:17:09
***.novo.dk,805465031,GET,/images/ksclogo-medium.gif,200,5866,1995-07-11 06:17:11
***.novo.dk,805465051,GET,/images/MOSAIC-logosmall.gif,200,363,1995-07-11 06:17:31
***.novo.dk,805465053,GET,/images/USA-logosmall.gif,200,234,1995-07-11 06:17:33
***.novo.dk,805465054,GET,/images/NASA-logosmall.gif,200,786,1995-07-11 06:17:34
***.novo.dk,805465058,GET,/images/WORLD-logosmall.gif,200,669,1995-07-11 06:17:38
***.novo.dk,805465068,GET,/shuttle/missions/missions.html,200,8678,1995-07-11 06:17:48
***.novo.dk,805465071,GET,/images/launchmedium.gif,200,11853,1995-07-11 06:17:51
***.novo.dk,805465153,GET,/images/KSC-logosmall.gif,200,1204,1995-07-11 06:19:13
***.novo.dk,805465157,GET,/images/NASA-logosmall.gif,200,786,1995-07-11 06:19:17
***.novo.dk,805465323,GET,/images/launch-logo.gif,200,1713,1995-07-11 06:22:03
***.novo.dk,805465328,GET,/history/apollo/images/apollo-logo1.gif,200,1173,1995-07-11 06:22:08
***.novo.dk,805465381,GET,/shuttle/resources/orbiters/columbia.html,200,6922,1995-07-11 06:23:01
***.novo.dk,807951768,GET,/shuttle/missions/sts-69/mission-sts-69.html,200,11264,1995-08-09 01:02:48
***.novo.dk,807951775,GET,/shuttle/missions/sts-69/sts-69-patch-small.gif,200,8083,1995-08-09 01:02:55
***.novo.dk,807951782,GET,/images/KSC-logosmall.gif,200,1204,1995-08-09 01:03:02
***.novo.dk,807951786,GET,/images/launch-logo.gif,200,1713,1995-08-09 01:03:06
***.novo.dk,807951792,GET,/history/apollo/images/apollo-logo1.gif,200,1173,1995-08-09 01:03:12
***.novo.dk,807951832,GET,/shuttle/countdown/,200,4673,1995-08-09 01:03:52
***.novo.dk,807951848,GET,/shuttle/missions/sts-69/count69.gif,200,46053,1995-08-09 01:04:08
***.novo.dk,807951864,GET,/images/NASA-logosmall.gif,200,786,1995-08-09 01:04:24
***.novo.dk,807951907,GET,/htbin/cdt_main.pl,200,3714,1995-08-09 01:05:07
***.novo.dk,807951914,GET,/shuttle/countdown/images/countclock.gif,200,13994,1995-08-09 01:05:14
***.novo.dk,807951938,GET,/shuttle/countdown/liftoff.html,200,4665,1995-08-09 01:05:38
***.novo.dk,807951981,GET,/shuttle/countdown/video/livevideo2.gif,200,69067,1995-08-09 01:06:21
***.novo.dk,807952044,GET,/htbin/cdt_clock.pl,200,543,1995-08-09 01:07:24
***.novo.dk,807952060,GET,/shuttle/countdown/lps/fr.html,200,1879,1995-08-09 01:07:40
***.novo.dk,807952078,GET,/shuttle/countdown/lps/fr.gif,200,30232,1995-08-09 01:07:58
***.novo.dk,807952102,GET,/shuttle/countdown/lps/back.gif,200,1289,1995-08-09 01:08:22
001.msy4.communique.net,809765747,GET,/software/winvn/winvn.html,200,9630,1995-08-30 00:55:47
001.msy4.communique.net,809765749,GET,/software/winvn/winvn.gif,200,25218,1995-08-30 00:55:49
001.msy4.communique.net,809765749,GET,/software/winvn/bluemarb.gif,200,4441,1995-08-30 00:55:49
001.msy4.communique.net,809765750,GET,/software/winvn/wvsmall.gif,200,13372,1995-08-30 00:55:50
001.msy4.communique.net,809765753,GET,/images/KSC-logosmall.gif,200,1204,1995-08-30 00:55:53
001.msy4.communique.net,809765761,GET,/images/MOSAIC-logosmall.gif,200,363,1995-08-30 00:56:01
001.msy4.communique.net,809765763,GET,/images/USA-logosmall.gif,200,234,1995-08-30 00:56:03
001.msy4.communique.net,809765764,GET,/images/WORLD-logosmall.gif,200,669,1995-08-30 00:56:04
007.thegap.com,805065755,GET,/shuttle/countdown/,200,3998,1995-07-06 15:22:35
007.thegap.com,805065760,GET,/shuttle/countdown/count.gif,200,40310,1995-07-06 15:22:40
007.thegap.com,805065766,GET,/images/NASA-logosmall.gif,200,786,1995-07-06 15:22:46
007.thegap.com,805065767,GET,/images/KSC-logosmall.gif,200,1204,1995-07-06 15:22:47
007.thegap.com,805065868,GET,/shuttle/missions/sts-71/mission-sts-71.html,200,12722,1995-07-06 15:24:28
007.thegap.com,805065872,GET,/shuttle/missions/sts-71/sts-71-patch-small.gif,200,12054,1995-07-06 15:24:32
007.thegap.com,805065899,GET,/images/launch-logo.gif,200,1713,1995-07-06 15:24:59
007.thegap.com,805066115,GET,/shuttle/missions/sts-71/mission-sts-71.html,200,12722,1995-07-06 15:28:35
007.thegap.com,805066479,GET,/shuttle/missions/sts-71/sts-71-patch.jpg,200,203429,1995-07-06 15:34:39
007.thegap.com,805066664,GET,/shuttle/missions/sts-71/images/images.html,200,7634,1995-07-06 15:37:44
007.thegap.com,805067040,GET,/shuttle/missions/sts-71/images/index71.gif,200,98304,1995-07-06 15:44:00
007.thegap.com,805072924,GET,/shuttle/countdown/,200,3998,1995-07-06 17:22:04
007.thegap.com,805072928,GET,/shuttle/countdown/count.gif,200,40310,1995-07-06 17:22:08
007.thegap.com,805072932,GET,/images/NASA-logosmall.gif,200,786,1995-07-06 17:22:12
007.thegap.com,805072934,GET,/images/KSC-logosmall.gif,200,1204,1995-07-06 17:22:14
007.thegap.com,805073006,GET,/shuttle/countdown/tour.html,200,4347,1995-07-06 17:23:26
007.thegap.com,805073009,GET,/images/KSC-94EC-412-small.gif,200,20484,1995-07-06 17:23:29
007.thegap.com,805073768,GET,/images/shuttle-patch-logo.gif,200,891,1995-07-06 17:36:08
007.thegap.com,805337998,GET,/shuttle/,200,957,1995-07-09 18:59:58
007.thegap.com,805338000,GET,/icons/menu.xbm,200,527,1995-07-09 19:00:00
007.thegap.com,805338001,GET,/icons/blank.xbm,200,509,1995-07-09 19:00:01
007.thegap.com,805338010,GET,/shuttle/missions/,200,12283,1995-07-09 19:00:10
007.thegap.com,805338013,GET,/icons/text.xbm,200,527,1995-07-09 19:00:13
007.thegap.com,805338050,GET,/icons/image.xbm,200,509,1995-07-09 19:00:50
007.thegap.com,805338117,GET,/,200,7067,1995-07-09 19:01:57
007.thegap.com,805338124,GET,/images/ksclogo-medium.gif,200,5866,1995-07-09 19:02:04
007.thegap.com,806532047,GET,/shuttle/countdown/,200,4324,1995-07-23 14:40:47
007.thegap.com,806532057,GET,/images/NASA-logosmall.gif,200,786,1995-07-23 14:40:57
007.thegap.com,806532057,GET,/images/KSC-logosmall.gif,200,1204,1995-07-23 14:40:57
007.thegap.com,806532074,GET,/shuttle/countdown/count70.gif,200,46573,1995-07-23 14:41:14
007.thegap.com,807996988,GET,/shuttle/countdown/,200,4673,1995-08-09 13:36:28
007.thegap.com,807996997,GET,/images/NASA-logosmall.gif,200,786,1995-08-09 13:36:37
007.thegap.com,807996997,GET,/images/KSC-logosmall.gif,200,1204,1995-08-09 13:36:37
